,prompt,completion
1495,"This is a verse from the Holy Quran
""Such were the �Ad People: they rejected the Signs of their Lord and Cherisher; disobeyed His messengers; And followed the command of every powerful""
 where its mention in the Holy quran?",(Quran 11:59)
1496,"This is a verse from the Holy Quran
""And they were pursued by a Curse in this life""
 where its mention in the Holy quran?",(Quran 11:60)
1497,"This is a verse from the Holy Quran
""To the Thamud People (We sent) Salih""
 where its mention in the Holy quran?",(Quran 11:61)
1498,"This is a verse from the Holy Quran
""They said: ""O Salih! thou hast been of us! a centre of our hopes hitherto! dost thou (now) forbid us the worship of what our fathers worshipped? But we are really in suspicious (disquieting) doubt as to that to which thou invitest us.""""
 where its mention in the Holy quran?",(Quran 11:62)
1499,"This is a verse from the Holy Quran
""He said: ""O my people! do ye see? if I have a Clear (Sign) from my Lord and He hath sent Mercy unto me from Himself""
 where its mention in the Holy quran?",(Quran 11:63)
1500,"This is a verse from the Holy Quran
""""And O my people! This she-camel of Allah is a symbol to you: leave her to feed on Allah�s (free) earth""
 where its mention in the Holy quran?",(Quran 11:64)
1501,"This is a verse from the Holy Quran
""But they did ham-string her. So he said: ""Enjoy yourselves in your homes for three days: (Then will be your ruin): (Behold) there a promise not to be belied!""""
 where its mention in the Holy quran?",(Quran 11:65)
1502,"This is a verse from the Holy Quran
""When Our Decree issued""
 where its mention in the Holy quran?",(Quran 11:66)
1503,"This is a verse from the Holy Quran
""The (mighty) Blast overtook the wrong-doers""
 where its mention in the Holy quran?",(Quran 11:67)
1504,"This is a verse from the Holy Quran
""As if they had never dwelt and flourished there. Ah! Behold! for the Thamud rejected their Lord and Cherisher! Ah! Behold! removed (from sight) were the Thamud!""
 where its mention in the Holy quran?",(Quran 11:68)
1505,"This is a verse from the Holy Quran
""There came Our messengers to Abraham with glad tidings. They said""
 where its mention in the Holy quran?",(Quran 11:69)
1506,"This is a verse from the Holy Quran
""But when he saw their hands went not towards the (meal)""
 where its mention in the Holy quran?",(Quran 11:70)
1507,"This is a verse from the Holy Quran
""And his wife was standing (there)""
 where its mention in the Holy quran?",(Quran 11:71)
1508,"This is a verse from the Holy Quran
""She said: ""Alas for me! shall I bear a child""
 where its mention in the Holy quran?",(Quran 11:72)
1509,"This is a verse from the Holy Quran
""They said: ""Dost thou wonder at Allah�s decree? The grace of Allah and His blessings on you""
 where its mention in the Holy quran?",(Quran 11:73)
1510,"This is a verse from the Holy Quran
""When fear had passed from (the mind of) Abraham and the glad tidings had reached him""
 where its mention in the Holy quran?",(Quran 11:74)
1511,"This is a verse from the Holy Quran
""For Abraham was""
 where its mention in the Holy quran?",(Quran 11:75)
1512,"This is a verse from the Holy Quran
""O Abraham! Seek not this. The decree of thy Lord hath gone forth: for them there cometh a penalty that cannot be turned back!""
 where its mention in the Holy quran?",(Quran 11:76)
1513,"This is a verse from the Holy Quran
""When Our messengers came to Lut""
 where its mention in the Holy quran?",(Quran 11:77)
1514,"This is a verse from the Holy Quran
""And his people came rushing towards him""
 where its mention in the Holy quran?",(Quran 11:78)
1515,"This is a verse from the Holy Quran
""They said: ""Well dost thou know we have no need of thy daughters: indeed thou knowest quite well what we want!""""
 where its mention in the Holy quran?",(Quran 11:79)
1516,"This is a verse from the Holy Quran
""He said: ""Would that I had power to suppress you or that I could betake myself to some powerful support.""""
 where its mention in the Holy quran?",(Quran 11:80)
1517,"This is a verse from the Holy Quran
""(The Messengers) said: ""O Lut! We are Messengers from thy Lord! By no means shall they reach thee! now travel with thy family while yet a part of the night remains""
 where its mention in the Holy quran?",(Quran 11:81)
1518,"This is a verse from the Holy Quran
""When Our Decree issued""
 where its mention in the Holy quran?",(Quran 11:82)
1519,"This is a verse from the Holy Quran
""Marked as from thy Lord: Nor are they ever far from those who do wrong!""
 where its mention in the Holy quran?",(Quran 11:83)
1520,"This is a verse from the Holy Quran
""To the Madyan People (We sent) Shu�aib""
 where its mention in the Holy quran?",(Quran 11:84)
1521,"This is a verse from the Holy Quran
""""And O my people! give just measure and weight""
 where its mention in the Holy quran?",(Quran 11:85)
1522,"This is a verse from the Holy Quran
""""That which is left you by Allah is best for you""
 where its mention in the Holy quran?",(Quran 11:86)
1523,"This is a verse from the Holy Quran
""They said: ""O Shu�aib! Does thy (religion of) prayer command thee that we leave off the worship which our fathers practised""
 where its mention in the Holy quran?",(Quran 11:87)
1524,"This is a verse from the Holy Quran
""He said: ""O my people! see ye whether I have a Clear (Sign) from my Lord""
 where its mention in the Holy quran?",(Quran 11:88)
1525,"This is a verse from the Holy Quran
""""And O my people! let not my dissent (from you) cause you to sin""
 where its mention in the Holy quran?",(Quran 11:89)
1526,"This is a verse from the Holy Quran
""""But ask forgiveness of your Lord""
 where its mention in the Holy quran?",(Quran 11:90)
1527,"This is a verse from the Holy Quran
""They said: ""O Shu�aib! much of what thou sayest we do not understand! In fact among us we see that thou hast no strength! Were it not for thy family""
 where its mention in the Holy quran?",(Quran 11:91)
1528,"This is a verse from the Holy Quran
""He said: ""O my people! is then my family of more consideration with you than Allah? For ye cast Him away behind your backs (with contempt). But verily my Lord encompasseth on all sides all that ye do!""
 where its mention in the Holy quran?",(Quran 11:92)
1529,"This is a verse from the Holy Quran
""""And O my people! Do whatever ye can: I will do (my part): Soon will ye know who it is on whom descends the penalty of ignominy; and who is a liar! and watch ye! for I too am watching with you!""""
 where its mention in the Holy quran?",(Quran 11:93)
1530,"This is a verse from the Holy Quran
""When Our decree issued""
 where its mention in the Holy quran?",(Quran 11:94)
1531,"This is a verse from the Holy Quran
""As if they had never dwelt and flourished there! Ah! Behold! How the Madyan were removed (from sight) as were removed the Thamud!""
 where its mention in the Holy quran?",(Quran 11:95)
1532,"This is a verse from the Holy Quran
""And we sent Moses""
 where its mention in the Holy quran?",(Quran 11:96)
1533,"This is a verse from the Holy Quran
""Unto Pharaoh and his chiefs: but they followed the command of Pharaoh and the command of Pharaoh was no right (guide).""
 where its mention in the Holy quran?",(Quran 11:97)
1534,"This is a verse from the Holy Quran
""He will go before his people on the Day of Judgment""
 where its mention in the Holy quran?",(Quran 11:98)
1535,"This is a verse from the Holy Quran
""And they are followed by a curse in this (life) and on the Day of Judgment: and woeful is the gift which shall be given (unto them)!""
 where its mention in the Holy quran?",(Quran 11:99)
1536,"This is a verse from the Holy Quran
""These are some of the stories of communities which We relate unto thee: of them some are standing""
 where its mention in the Holy quran?",(Quran 11:100)
1537,"This is a verse from the Holy Quran
""It was not We that wronged them: They wronged their own souls: the deities""
 where its mention in the Holy quran?",(Quran 11:101)
1538,"This is a verse from the Holy Quran
""Such is the chastisement of thy Lord when He chastises communities in the midst of their wrong: grievous""
 where its mention in the Holy quran?",(Quran 11:102)
1539,"This is a verse from the Holy Quran
""In that is a Sign for those who fear the penalty of the Hereafter: that is a Day for which mankind will be gathered together: that will be a Day of Testimony.""
 where its mention in the Holy quran?",(Quran 11:103)
1540,"This is a verse from the Holy Quran
""Nor shall We delay it but for a term appointed.""
 where its mention in the Holy quran?",(Quran 11:104)
1541,"This is a verse from the Holy Quran
""The day it arrives""
 where its mention in the Holy quran?",(Quran 11:105)
1542,"This is a verse from the Holy Quran
""Those who are wretched shall be in the Fire: There will be for them therein (nothing but) the heaving of sighs and sobs:""
 where its mention in the Holy quran?",(Quran 11:106)
1543,"This is a verse from the Holy Quran
""They will dwell therein for all the time that the heavens and the earth endure""
 where its mention in the Holy quran?",(Quran 11:107)
1544,"This is a verse from the Holy Quran
""And those who are blessed shall be in the Garden: They will dwell therein for all the time that the heavens and the earth endure""
 where its mention in the Holy quran?",(Quran 11:108)
1545,"This is a verse from the Holy Quran
""Be not then in doubt as to what these men worship. They worship nothing but what their fathers worshipped before (them): but verily We shall pay them back (in full) their portion without (the least) abatement.""
 where its mention in the Holy quran?",(Quran 11:109)
1546,"This is a verse from the Holy Quran
""We certainly gave the Book to Moses""
 where its mention in the Holy quran?",(Quran 11:110)
1547,"This is a verse from the Holy Quran
""And""
 where its mention in the Holy quran?",(Quran 11:111)
1548,"This is a verse from the Holy Quran
""Therefore stand firm (in the straight Path) as thou art commanded""
 where its mention in the Holy quran?",(Quran 11:112)
1549,"This is a verse from the Holy Quran
""And incline not to those who do wrong""
 where its mention in the Holy quran?",(Quran 11:113)
1550,"This is a verse from the Holy Quran
""And establish regular prayers at the two ends of the day and at the approaches of the night: For those things""
 where its mention in the Holy quran?",(Quran 11:114)
1551,"This is a verse from the Holy Quran
""And be steadfast in patience; for verily Allah will not suffer the reward of the righteous to perish.""
 where its mention in the Holy quran?",(Quran 11:115)
1552,"This is a verse from the Holy Quran
""Why were there not""
 where its mention in the Holy quran?",(Quran 11:116)
1553,"This is a verse from the Holy Quran
""Nor would thy Lord be the One to destroy communities for a single wrong-doing""
 where its mention in the Holy quran?",(Quran 11:117)
1554,"This is a verse from the Holy Quran
""If thy Lord had so willed""
 where its mention in the Holy quran?",(Quran 11:118)
1555,"This is a verse from the Holy Quran
""Except those on whom thy Lord hath bestowed His Mercy: and for this did He create them: and the Word of thy Lord shall be fulfilled: ""I will fill Hell with jinns and men all together.""""
 where its mention in the Holy quran?",(Quran 11:119)
1556,"This is a verse from the Holy Quran
""All that we relate to thee of the stories of the messengers""
 where its mention in the Holy quran?",(Quran 11:120)
1557,"This is a verse from the Holy Quran
""Say to those who do not believe: ""Do what ever ye can: We shall do our part;""
 where its mention in the Holy quran?",(Quran 11:121)
1558,"This is a verse from the Holy Quran
""""And wait ye! We too shall wait.""""
 where its mention in the Holy quran?",(Quran 11:122)
1559,"This is a verse from the Holy Quran
""To Allah do belong the unseen (secrets) of the heavens and the earth""
 where its mention in the Holy quran?",(Quran 11:123)
1560,"This is a verse from the Holy Quran
""A.L.R. These are the symbols (or Verses) of the perspicuous Book.""
 where its mention in the Holy quran?",(Quran 12:1)
1561,"This is a verse from the Holy Quran
""We have sent it down as an Arabic Qur�an""
 where its mention in the Holy quran?",(Quran 12:2)
1562,"This is a verse from the Holy Quran
""We do relate unto thee the most beautiful of stories""
 where its mention in the Holy quran?",(Quran 12:3)
1563,"This is a verse from the Holy Quran
""Behold! Joseph said to his father: ""O my father! I did see eleven stars and the sun and the moon: I saw them prostrate themselves to me!""""
 where its mention in the Holy quran?",(Quran 12:4)
1564,"This is a verse from the Holy Quran
""Said (the father): ""My (dear) little son! relate not thy vision to thy brothers""
 where its mention in the Holy quran?",(Quran 12:5)
1565,"This is a verse from the Holy Quran
""""Thus will thy Lord choose thee and teach thee the interpretation of stories (and events) and perfect His favour to thee and to the posterity of Jacob - even as He perfected it to thy fathers Abraham and Isaac aforetime! for Allah is full of knowledge and wisdom.""""
 where its mention in the Holy quran?",(Quran 12:6)
1566,"This is a verse from the Holy Quran
""Verily in Joseph and his brethren are signs (or symbols) for seekers (after Truth).""
 where its mention in the Holy quran?",(Quran 12:7)
1567,"This is a verse from the Holy Quran
""They said: ""Truly Joseph and his brother are loved more by our father than we: But we are a goodly body! really our father is obviously wandering (in his mind)!""
 where its mention in the Holy quran?",(Quran 12:8)
1568,"This is a verse from the Holy Quran
""""Slay ye Joseph or cast him out to some (unknown) land""
 where its mention in the Holy quran?",(Quran 12:9)
1569,"This is a verse from the Holy Quran
""Said one of them: ""Slay not Joseph""
 where its mention in the Holy quran?",(Quran 12:10)
1570,"This is a verse from the Holy Quran
""They said: ""O our father! why dost thou not trust us with Joseph""
 where its mention in the Holy quran?",(Quran 12:11)
1571,"This is a verse from the Holy Quran
""""Send him with us tomorrow to enjoy himself and play""
 where its mention in the Holy quran?",(Quran 12:12)
1572,"This is a verse from the Holy Quran
""(Jacob) said: ""Really it saddens me that ye should take him away: I fear lest the wolf should devour him while ye attend not to him.""""
 where its mention in the Holy quran?",(Quran 12:13)
1573,"This is a verse from the Holy Quran
""They said: ""If the wolf were to devour him while we are (so large) a party""
 where its mention in the Holy quran?",(Quran 12:14)
1574,"This is a verse from the Holy Quran
""So they did take him away""
 where its mention in the Holy quran?",(Quran 12:15)
1575,"This is a verse from the Holy Quran
""Then they came to their father in the early part of the night""
 where its mention in the Holy quran?",(Quran 12:16)
1576,"This is a verse from the Holy Quran
""They said: ""O our father! We went racing with one another""
 where its mention in the Holy quran?",(Quran 12:17)
1577,"This is a verse from the Holy Quran
""They stained his shirt with false blood. He said: ""Nay""
 where its mention in the Holy quran?",(Quran 12:18)
1578,"This is a verse from the Holy Quran
""Then there came a caravan of travellers: they sent their water-carrier (for water)""
 where its mention in the Holy quran?",(Quran 12:19)
1579,"This is a verse from the Holy Quran
""The (Brethren) sold him for a miserable price""
 where its mention in the Holy quran?",(Quran 12:20)
1580,"This is a verse from the Holy Quran
""The man in Egypt who bought him""
 where its mention in the Holy quran?",(Quran 12:21)
1581,"This is a verse from the Holy Quran
""When Joseph attained His full manhood""
 where its mention in the Holy quran?",(Quran 12:22)
1582,"This is a verse from the Holy Quran
""But she in whose house he was""
 where its mention in the Holy quran?",(Quran 12:23)
1583,"This is a verse from the Holy Quran
""And (with passion) did she desire him""
 where its mention in the Holy quran?",(Quran 12:24)
1584,"This is a verse from the Holy Quran
""So they both raced each other to the door""
 where its mention in the Holy quran?",(Quran 12:25)
1585,"This is a verse from the Holy Quran
""He said: ""It was she that sought to seduce me - from my (true) self."" And one of her household saw (this) and bore witness""
 where its mention in the Holy quran?",(Quran 12:26)
1586,"This is a verse from the Holy Quran
""""But if it be that his shirt is torn from the back""
 where its mention in the Holy quran?",(Quran 12:27)
1587,"This is a verse from the Holy Quran
""So when he saw his shirt""
 where its mention in the Holy quran?",(Quran 12:28)
1588,"This is a verse from the Holy Quran
""""O Joseph""
 where its mention in the Holy quran?",(Quran 12:29)
1589,"This is a verse from the Holy Quran
""Ladies said in the City: ""The wife of the (great) �Aziz is seeking to seduce her slave from his (true) self: Truly hath he inspired her with violent love: we see she is evidently going astray.""""
 where its mention in the Holy quran?",(Quran 12:30)
1590,"This is a verse from the Holy Quran
""When she heard of their malicious talk""
 where its mention in the Holy quran?",(Quran 12:31)
1591,"This is a verse from the Holy Quran
""She said: ""There before you is the man about whom ye did blame me! I did seek to seduce him from his (true) self but he did firmly save himself guiltless!....and now""
 where its mention in the Holy quran?",(Quran 12:32)
1592,"This is a verse from the Holy Quran
""He said: ""O my Lord! the prison is more to my liking than that to which they invite me: Unless Thou turn away their snare from me""
 where its mention in the Holy quran?",(Quran 12:33)
1593,"This is a verse from the Holy Quran
""So his Lord hearkened to him (in his prayer)""
 where its mention in the Holy quran?",(Quran 12:34)
1594,"This is a verse from the Holy Quran
""Then it occurred to the men""
 where its mention in the Holy quran?",(Quran 12:35)
1595,"This is a verse from the Holy Quran
""Now with him there came into the prison two young men. Said one of them: ""I see myself (in a dream) pressing wine."" said the other: ""I see myself (in a dream) carrying bread on my head""
 where its mention in the Holy quran?",(Quran 12:36)
1596,"This is a verse from the Holy Quran
""He said: ""Before any food comes (in due course) to feed either of you""
 where its mention in the Holy quran?",(Quran 12:37)
1597,"This is a verse from the Holy Quran
""""And I follow the ways of my fathers""
 where its mention in the Holy quran?",(Quran 12:38)
1598,"This is a verse from the Holy Quran
""""O my two companions of the prison! (I ask you): are many lords differing among themselves better""
 where its mention in the Holy quran?",(Quran 12:39)
1599,"This is a verse from the Holy Quran
""""If not Him""
 where its mention in the Holy quran?",(Quran 12:40)
1600,"This is a verse from the Holy Quran
""""O my two companions of the prison! As to one of you""
 where its mention in the Holy quran?",(Quran 12:41)
1601,"This is a verse from the Holy Quran
""And of the two""
 where its mention in the Holy quran?",(Quran 12:42)
1602,"This is a verse from the Holy Quran
""The king (of Egypt) said: ""I do see (in a vision) seven fat kine""
 where its mention in the Holy quran?",(Quran 12:43)
1603,"This is a verse from the Holy Quran
""They said: ""A confused medley of dreams: and we are not skilled in the interpretation of dreams.""""
 where its mention in the Holy quran?",(Quran 12:44)
1604,"This is a verse from the Holy Quran
""But the man who had been released""
 where its mention in the Holy quran?",(Quran 12:45)
1605,"This is a verse from the Holy Quran
""""O Joseph!"" (he said) ""O man of truth! Expound to us (the dream) of seven fat kine whom seven lean ones devour""
 where its mention in the Holy quran?",(Quran 12:46)
1606,"This is a verse from the Holy Quran
""(Joseph) said: ""For seven years shall ye diligently sow as is your wont: and the harvests that ye reap""
 where its mention in the Holy quran?",(Quran 12:47)
1607,"This is a verse from the Holy Quran
""""Then will come after that (period) seven dreadful (years)""
 where its mention in the Holy quran?",(Quran 12:48)
1608,"This is a verse from the Holy Quran
""""Then will come after that (period) a year in which the people will have abundant water""
 where its mention in the Holy quran?",(Quran 12:49)
1609,"This is a verse from the Holy Quran
""So the king said: ""Bring ye him unto me."" But when the messenger came to him""
 where its mention in the Holy quran?",(Quran 12:50)
1610,"This is a verse from the Holy Quran
""(The king) said (to the ladies): ""What was your affair when ye did seek to seduce Joseph from his (true) self?"" The ladies said: ""Allah preserve us! no evil know we against him!"" Said the �Aziz�s wife: ""Now is the truth manifest (to all): it was I who sought to seduce him from his (true) self: He is indeed of those who are (ever) true (and virtuous).""
 where its mention in the Holy quran?",(Quran 12:51)
1611,"This is a verse from the Holy Quran
""""This (say I)""
 where its mention in the Holy quran?",(Quran 12:52)
1612,"This is a verse from the Holy Quran
""""Nor do I absolve my own self (of blame): the (human) soul is certainly prone to evil""
 where its mention in the Holy quran?",(Quran 12:53)
1613,"This is a verse from the Holy Quran
""So the king said: ""Bring him unto me; I will take him specially to serve about my own person."" Therefore when he had spoken to him""
 where its mention in the Holy quran?",(Quran 12:54)
1614,"This is a verse from the Holy Quran
""(Joseph) said: ""Set me over the store-houses of the land: I will indeed guard them""
 where its mention in the Holy quran?",(Quran 12:55)
1615,"This is a verse from the Holy Quran
""Thus did We give established power to Joseph in the land""
 where its mention in the Holy quran?",(Quran 12:56)
1616,"This is a verse from the Holy Quran
""But verily the reward of the Hereafter is the best""
 where its mention in the Holy quran?",(Quran 12:57)
1617,"This is a verse from the Holy Quran
""Then came Joseph�s brethren: they entered his presence""
 where its mention in the Holy quran?",(Quran 12:58)
1618,"This is a verse from the Holy Quran
""And when he had furnished them forth with provisions (suitable) for them""
 where its mention in the Holy quran?",(Quran 12:59)
1619,"This is a verse from the Holy Quran
""""Now if ye bring him not to me""
 where its mention in the Holy quran?",(Quran 12:60)
1620,"This is a verse from the Holy Quran
""They said: ""We shall certainly seek to get our wish about him from his father: Indeed we shall do it.""""
 where its mention in the Holy quran?",(Quran 12:61)
1621,"This is a verse from the Holy Quran
""And (Joseph) told his servants to put their stock-in-trade (with which they had bartered) into their saddle-bags""
 where its mention in the Holy quran?",(Quran 12:62)
1622,"This is a verse from the Holy Quran
""Now when they returned to their father""
 where its mention in the Holy quran?",(Quran 12:63)
1623,"This is a verse from the Holy Quran
""He said: ""Shall I trust you with him with any result other than when I trusted you with his brother aforetime? But Allah is the best to take care (of him)""
 where its mention in the Holy quran?",(Quran 12:64)
1624,"This is a verse from the Holy Quran
""Then when they opened their baggage""
 where its mention in the Holy quran?",(Quran 12:65)
1625,"This is a verse from the Holy Quran
""(Jacob) said: ""Never will I send him with you until ye swear a solemn oath to me""
 where its mention in the Holy quran?",(Quran 12:66)
1626,"This is a verse from the Holy Quran
""Further he said: ""O my sons! enter not all by one gate: enter ye by different gates. Not that I can profit you aught against Allah (with my advice): None can command except Allah: On Him do I put my trust: and let all that trust put their trust on Him.""""
 where its mention in the Holy quran?",(Quran 12:67)
1627,"This is a verse from the Holy Quran
""And when they entered in the manner their father had enjoined""
 where its mention in the Holy quran?",(Quran 12:68)
1628,"This is a verse from the Holy Quran
""Now when they came into Joseph�s presence""
 where its mention in the Holy quran?",(Quran 12:69)
1629,"This is a verse from the Holy Quran
""At length when he had furnished them forth with provisions (suitable) for them""
 where its mention in the Holy quran?",(Quran 12:70)
1630,"This is a verse from the Holy Quran
""They said""
 where its mention in the Holy quran?",(Quran 12:71)
1631,"This is a verse from the Holy Quran
""They said: ""We miss the great beaker of the king; for him who produces it""
 where its mention in the Holy quran?",(Quran 12:72)
1632,"This is a verse from the Holy Quran
""(The brothers) said: ""By Allah! well ye know that we came not to make mischief in the land""
 where its mention in the Holy quran?",(Quran 12:73)
1633,"This is a verse from the Holy Quran
""(The Egyptians) said: ""What then shall be the penalty of this""
 where its mention in the Holy quran?",(Quran 12:74)
1634,"This is a verse from the Holy Quran
""They said: ""The penalty should be that he in whose saddle-bag it is found""
 where its mention in the Holy quran?",(Quran 12:75)
1635,"This is a verse from the Holy Quran
""So he began (the search) with their baggage""
 where its mention in the Holy quran?",(Quran 12:76)
1636,"This is a verse from the Holy Quran
""They said: ""If he steals""
 where its mention in the Holy quran?",(Quran 12:77)
1637,"This is a verse from the Holy Quran
""They said: ""O exalted one! Behold! he has a father""
 where its mention in the Holy quran?",(Quran 12:78)
1638,"This is a verse from the Holy Quran
""He said: ""Allah forbid that we take other than him with whom we found our property: indeed (if we did so)""
 where its mention in the Holy quran?",(Quran 12:79)
1639,"This is a verse from the Holy Quran
""Now when they saw no hope of his (yielding)""
 where its mention in the Holy quran?",(Quran 12:80)
1640,"This is a verse from the Holy Quran
""""Turn ye back to your father""
 where its mention in the Holy quran?",(Quran 12:81)
1641,"This is a verse from the Holy Quran
""""�Ask at the town where we have been and the caravan in which we returned""
 where its mention in the Holy quran?",(Quran 12:82)
1642,"This is a verse from the Holy Quran
""Jacob said: ""Nay""
 where its mention in the Holy quran?",(Quran 12:83)
1643,"This is a verse from the Holy Quran
""And he turned away from them""
 where its mention in the Holy quran?",(Quran 12:84)
1644,"This is a verse from the Holy Quran
""They said: ""By Allah! (never) wilt thou cease to remember Joseph until thou reach the last extremity of illness""
 where its mention in the Holy quran?",(Quran 12:85)
1645,"This is a verse from the Holy Quran
""He said: ""I only complain of my distraction and anguish to Allah""
 where its mention in the Holy quran?",(Quran 12:86)
1646,"This is a verse from the Holy Quran
""""O my sons! go ye and enquire about Joseph and his brother""
 where its mention in the Holy quran?",(Quran 12:87)
1647,"This is a verse from the Holy Quran
""Then""
 where its mention in the Holy quran?",(Quran 12:88)
1648,"This is a verse from the Holy Quran
""He said: ""Know ye how ye dealt with Joseph and his brother""
 where its mention in the Holy quran?",(Quran 12:89)
1649,"This is a verse from the Holy Quran
""They said: ""Art thou indeed Joseph?"" He said""
 where its mention in the Holy quran?",(Quran 12:90)
1650,"This is a verse from the Holy Quran
""They said: ""By Allah! indeed has Allah preferred thee above us""
 where its mention in the Holy quran?",(Quran 12:91)
1651,"This is a verse from the Holy Quran
""He said: ""This day let no reproach be (cast) on you: Allah will forgive you""
 where its mention in the Holy quran?",(Quran 12:92)
1652,"This is a verse from the Holy Quran
""""Go with this my shirt""
 where its mention in the Holy quran?",(Quran 12:93)
1653,"This is a verse from the Holy Quran
""When the caravan left (Egypt)""
 where its mention in the Holy quran?",(Quran 12:94)
1654,"This is a verse from the Holy Quran
""They said: ""By Allah! truly thou art in thine old wandering mind.""""
 where its mention in the Holy quran?",(Quran 12:95)
1655,"This is a verse from the Holy Quran
""Then when the bearer of the good news came""
 where its mention in the Holy quran?",(Quran 12:96)
1656,"This is a verse from the Holy Quran
""They said: ""O our father! ask for us forgiveness for our sins""
 where its mention in the Holy quran?",(Quran 12:97)
1657,"This is a verse from the Holy Quran
""He said: ""Soon will I ask my Lord for forgiveness for you: for he is indeed Oft-Forgiving""
 where its mention in the Holy quran?",(Quran 12:98)
1658,"This is a verse from the Holy Quran
""Then when they entered the presence of Joseph""
 where its mention in the Holy quran?",(Quran 12:99)
1659,"This is a verse from the Holy Quran
""And he raised his parents high on the throne (of dignity)""
 where its mention in the Holy quran?",(Quran 12:100)
1660,"This is a verse from the Holy Quran
""""O my Lord! Thou hast indeed bestowed on me some power""
 where its mention in the Holy quran?",(Quran 12:101)
1661,"This is a verse from the Holy Quran
""Such is one of the stories of what happened unseen""
 where its mention in the Holy quran?",(Quran 12:102)
1662,"This is a verse from the Holy Quran
""Yet no faith will the greater part of mankind have""
 where its mention in the Holy quran?",(Quran 12:103)
1663,"This is a verse from the Holy Quran
""And no reward dost thou ask of them for this: it is no less than a message for all creatures.""
 where its mention in the Holy quran?",(Quran 12:104)
1664,"This is a verse from the Holy Quran
""And how many Signs in the heavens and the earth do they pass by? Yet they turn (their faces) away from them!""
 where its mention in the Holy quran?",(Quran 12:105)
1665,"This is a verse from the Holy Quran
""And most of them believe not in Allah without associating (other as partners) with Him!""
 where its mention in the Holy quran?",(Quran 12:106)
1666,"This is a verse from the Holy Quran
""Do they then feel secure from the coming against them of the covering veil of the wrath of Allah""
 where its mention in the Holy quran?",(Quran 12:107)
1667,"This is a verse from the Holy Quran
""Say thou: ""This is my way: I do invite unto Allah""
 where its mention in the Holy quran?",(Quran 12:108)
1668,"This is a verse from the Holy Quran
""Nor did We send before thee (as messengers) any but men""
 where its mention in the Holy quran?",(Quran 12:109)
1669,"This is a verse from the Holy Quran
""(Respite will be granted) until""
 where its mention in the Holy quran?",(Quran 12:110)
1670,"This is a verse from the Holy Quran
""There is""
 where its mention in the Holy quran?",(Quran 12:111)
1671,"This is a verse from the Holy Quran
""A.L.M.R. These are the signs (or verses) of the Book: that which hath been revealed unto thee from thy Lord is the Truth; but most men believe not.""
 where its mention in the Holy quran?",(Quran 13:1)
1672,"This is a verse from the Holy Quran
""Allah is He Who raised the heavens without any pillars that ye can see; is firmly established on the throne (of authority); He has subjected the sun and the moon (to his Law)! Each one runs (its course) for a term appointed. He doth regulate all affairs""
 where its mention in the Holy quran?",(Quran 13:2)
1673,"This is a verse from the Holy Quran
""And it is He who spread out the earth""
 where its mention in the Holy quran?",(Quran 13:3)
1674,"This is a verse from the Holy Quran
""And in the earth are tracts (diverse though) neighbouring""
 where its mention in the Holy quran?",(Quran 13:4)
1675,"This is a verse from the Holy Quran
""If thou dost marvel (at their want of faith)""
 where its mention in the Holy quran?",(Quran 13:5)
1676,"This is a verse from the Holy Quran
""They ask thee to hasten on the evil in preference to the good: Yet have come to pass""
 where its mention in the Holy quran?",(Quran 13:6)
1677,"This is a verse from the Holy Quran
""And the Unbelievers say: ""Why is not a sign sent down to him from his Lord?"" But thou art truly a warner""
 where its mention in the Holy quran?",(Quran 13:7)
1678,"This is a verse from the Holy Quran
""Allah doth know what every female (womb) doth bear""
 where its mention in the Holy quran?",(Quran 13:8)
1679,"This is a verse from the Holy Quran
""He knoweth the unseen and that which is open: He is the Great""
 where its mention in the Holy quran?",(Quran 13:9)
1680,"This is a verse from the Holy Quran
""It is the same (to Him) whether any of you conceal his speech or declare it openly; whether he lie hid by night or walk forth freely by day.""
 where its mention in the Holy quran?",(Quran 13:10)
1681,"This is a verse from the Holy Quran
""For each (such person) there are (angels) in succession""
 where its mention in the Holy quran?",(Quran 13:11)
1682,"This is a verse from the Holy Quran
""It is He Who doth show you the lightning""
 where its mention in the Holy quran?",(Quran 13:12)
1683,"This is a verse from the Holy Quran
""Nay""
 where its mention in the Holy quran?",(Quran 13:13)
1684,"This is a verse from the Holy Quran
""For Him (alone) is prayer in Truth: any others that they call upon besides Him hear them no more than if they were to stretch forth their hands for water to reach their mouths but it reaches them not: for the prayer of those without Faith is nothing but (futile) wandering (in the mind).""
 where its mention in the Holy quran?",(Quran 13:14)
1685,"This is a verse from the Holy Quran
""Whatever beings there are in the heavens and the earth do prostrate themselves to Allah (Acknowledging subjection)""
 where its mention in the Holy quran?",(Quran 13:15)
1686,"This is a verse from the Holy Quran
""Say: ""Who is the Lord and Sustainer of the heavens and the earth?"" Say: ""(It is) Allah."" Say: ""Do ye then take (for worship) protectors other than Him""
 where its mention in the Holy quran?",(Quran 13:16)
1687,"This is a verse from the Holy Quran
""He sends down water from the skies""
 where its mention in the Holy quran?",(Quran 13:17)
1688,"This is a verse from the Holy Quran
""For those who respond to their Lord""
 where its mention in the Holy quran?",(Quran 13:18)
