,prompt,completion
896," (""O ye assembly of Jinns and men! came there not unto you messengers from amongst you) give me the refrence","Refrence: (6,130)"
897, ((The messengers were sent) thus) give me the refrence,"Refrence: (6,131)"
898, (To all are degrees (or ranks) according to their deeds: for thy Lord is not unmindful of anything that they do.) give me the refrence,"Refrence: (6,132)"
899, (Thy Lord is self-sufficient) give me the refrence,"Refrence: (6,133)"
900, (All that hath been promised unto you will come to pass: nor can ye frustrate it (in the least bit).) give me the refrence,"Refrence: (6,134)"
901," (Say: ""O my people! Do whatever ye can: I will do (my part): soon will ye know who it is whose end will be (best) in the Hereafter: certain it is that the wrong-doers will not prosper."") give me the refrence","Refrence: (6,135)"
902, (Out of what Allah hath produced in abundance in tilth and in cattle) give me the refrence,"Refrence: (6,136)"
903, (Even so) give me the refrence,"Refrence: (6,137)"
904, (And they say that such and such cattle and crops are taboo) give me the refrence,"Refrence: (6,138)"
905," (They say: ""What is in the wombs of such and such cattle is specially reserved (for food) for our men) give me the refrence","Refrence: (6,139)"
906, (Lost are those who slay their children) give me the refrence,"Refrence: (6,140)"
907, (It is He Who produceth gardens) give me the refrence,"Refrence: (6,141)"
908, (Of the cattle are some for burden and some for meat: eat what Allah hath provided for you) give me the refrence,"Refrence: (6,142)"
909, ((Take) eight (head of cattle) in (four) pairs: of sheep a pair) give me the refrence,"Refrence: (6,143)"
910, (Of camels a pair) give me the refrence,"Refrence: (6,144)"
911," (Say: ""I find not in the message received by me by inspiration any (meat) forbidden to be eaten by one who wishes to eat it) give me the refrence","Refrence: (6,145)"
912, (For those who followed the Jewish Law) give me the refrence,"Refrence: (6,146)"
913, (If they accuse thee of falsehood) give me the refrence,"Refrence: (6,147)"
914," (Those who give partners (to Allah) will say: ""If Allah had wished) give me the refrence","Refrence: (6,148)"
915," (Say: ""With Allah is the argument that reaches home: if it had been His will) give me the refrence","Refrence: (6,149)"
916," (Say: ""Bring forward your witnesses to prove that Allah did forbid so and so."" If they bring such witnesses) give me the refrence","Refrence: (6,150)"
917," (Say: ""Come) give me the refrence","Refrence: (6,151)"
918, (And come not nigh to the orphan�s property) give me the refrence,"Refrence: (6,152)"
919, (Verily) give me the refrence,"Refrence: (6,153)"
920, (Moreover) give me the refrence,"Refrence: (6,154)"
921, (And this is a Book which We have revealed as a blessing: so follow it and be righteous) give me the refrence,"Refrence: (6,155)"
922," (Lest ye should say: ""The Book was sent down to two Peoples before us) give me the refrence","Refrence: (6,156)"
923," (Or lest ye should say: ""If the Book had only been sent down to us) give me the refrence","Refrence: (6,157)"
924, (Are they waiting to see if the angels come to them) give me the refrence,"Refrence: (6,158)"
925, (As for those who divide their religion and break up into sects) give me the refrence,"Refrence: (6,159)"
926, (He that doeth good shall have ten times as much to his credit: He that doeth evil shall only be recompensed according to his evil: no wrong shall be done unto (any of) them.) give me the refrence,"Refrence: (6,160)"
927," (Say: ""Verily) give me the refrence","Refrence: (6,161)"
928," (Say: ""Truly) give me the refrence","Refrence: (6,162)"
929, (No partner hath He: this am I commanded) give me the refrence,"Refrence: (6,163)"
930," (Say: ""Shall I seek for (my) Cherisher other than Allah) give me the refrence","Refrence: (6,164)"
931, (It is He Who hath made you (His) agents) give me the refrence,"Refrence: (6,165)"
932, (Alif) give me the refrence,"Refrence: (7,1)"
933, (A Book revealed unto thee) give me the refrence,"Refrence: (7,2)"
934, (Follow (O men!) the revelation given unto you from your Lord) give me the refrence,"Refrence: (7,3)"
935, (How many towns have We destroyed (for their sins)? Our punishment took them on a sudden by night or while they slept for their afternoon rest.) give me the refrence,"Refrence: (7,4)"
936, (When (thus) Our punishment took them) give me the refrence,"Refrence: (7,5)"
937, (Then shall we question those to whom Our message was sent and those by whom We sent it.) give me the refrence,"Refrence: (7,6)"
938, (And verily) give me the refrence,"Refrence: (7,7)"
939, (The balance that day will be true (to nicety): those whose scale (of good) will be heavy) give me the refrence,"Refrence: (7,8)"
940, (Those whose scale will be light) give me the refrence,"Refrence: (7,9)"
941, (It is We Who have placed you with authority on earth) give me the refrence,"Refrence: (7,10)"
942, (It is We Who created you and gave you shape; then We bade the angels prostrate to Adam) give me the refrence,"Refrence: (7,11)"
943," ((Allah) said: ""What prevented thee from prostrating when I commanded thee?"" He said: ""I am better than he: Thou didst create me from fire) give me the refrence","Refrence: (7,12)"
944," ((Allah) said: ""Get thee down from this: it is not for thee to be arrogant here: get out) give me the refrence","Refrence: (7,13)"
945," (He said: ""Give me respite till the day they are raised up."") give me the refrence","Refrence: (7,14)"
946," ((Allah) said: ""Be thou among those who have respite."") give me the refrence","Refrence: (7,15)"
947," (He said: ""Because thou hast thrown me out of the way) give me the refrence","Refrence: (7,16)"
948," (""Then will I assault them from before them and behind them) give me the refrence","Refrence: (7,17)"
949," ((Allah) said: ""Get out from this) give me the refrence","Refrence: (7,18)"
950," (""O Adam! dwell thou and thy wife in the Garden) give me the refrence","Refrence: (7,19)"
951, (Then began Satan to whisper suggestions to them) give me the refrence,"Refrence: (7,20)"
952, (And he swore to them both) give me the refrence,"Refrence: (7,21)"
953, (So by deceit he brought about their fall: when they tasted of the tree) give me the refrence,"Refrence: (7,22)"
954," (They said: ""Our Lord! We have wronged our own souls: If thou forgive us not and bestow not upon us Thy Mercy) give me the refrence","Refrence: (7,23)"
955," ((Allah) said: ""Get ye down. With enmity between yourselves. On earth will be your dwelling-place and your means of livelihood) give me the refrence","Refrence: (7,24)"
956," (He said: ""Therein shall ye live) give me the refrence","Refrence: (7,25)"
957, (O ye Children of Adam! We have bestowed raiment upon you to cover your shame) give me the refrence,"Refrence: (7,26)"
958, (O ye Children of Adam! Let not Satan seduce you) give me the refrence,"Refrence: (7,27)"
959, (When they do aught that is shameful) give me the refrence,"Refrence: (7,28)"
960," (Say: ""My Lord hath commanded justice; and that ye set your whole selves (to Him) at every time and place of prayer) give me the refrence","Refrence: (7,29)"
961, (Some He hath guided: Others have (by their choice) deserved the loss of their way; in that they took the evil ones) give me the refrence,"Refrence: (7,30)"
962, (O Children of Adam! wear your beautiful apparel at every time and place of prayer: eat and drink: But waste not by excess) give me the refrence,"Refrence: (7,31)"
963, (Say: Who hath forbidden the beautiful (gifts) of Allah) give me the refrence,"Refrence: (7,32)"
964, (Say: the things that my Lord hath indeed forbidden are: shameful deeds) give me the refrence,"Refrence: (7,33)"
965, (To every people is a term appointed: when their term is reached) give me the refrence,"Refrence: (7,34)"
966, (O ye Children of Adam! whenever there come to you messengers from amongst you) give me the refrence,"Refrence: (7,35)"
967, (But those who reject Our signs and treat them with arrogance) give me the refrence,"Refrence: (7,36)"
968, (Who is more unjust than one who invents a lie against Allah or rejects His Signs? For such) give me the refrence,"Refrence: (7,37)"
969," (Then the first will say to the last: ""See then! No advantage have ye over us; so taste ye of the penalty for all that ye did !"") give me the refrence","Refrence: (7,39)"
970, (To those who reject Our signs and treat them with arrogance) give me the refrence,"Refrence: (7,40)"
971, (For them there is Hell) give me the refrence,"Refrence: (7,41)"
972, (But those who believe and work righteousness) give me the refrence,"Refrence: (7,42)"
973," (And We shall remove from their hearts any lurking sense of injury;- beneath them will be rivers flowing;- and they shall say: ""Praise be to Allah) give me the refrence","Refrence: (7,43)"
974," (The Companions of the Garden will call out to the Companions of the Fire: ""We have indeed found the promises of our Lord to us true: Have you also found Your Lord�s promises true?"" They shall say) give me the refrence","Refrence: (7,44)"
975," (""Those who would hinder (men) from the path of Allah and would seek in it something crooked: they were those who denied the Hereafter."") give me the refrence","Refrence: (7,45)"
976, (Between them shall be a veil) give me the refrence,"Refrence: (7,46)"
977, (When their eyes shall be turned towards the Companions of the Fire) give me the refrence,"Refrence: (7,47)"
978, (The men on the heights will call to certain men whom they will know from their marks) give me the refrence,"Refrence: (7,48)"
979," (""Behold! are these not the men whom you swore that Allah with His Mercy would never bless? Enter ye the Garden: no fear shall be on you) give me the refrence","Refrence: (7,49)"
980," (The Companions of the Fire will call to the Companions of the Garden: ""Pour down to us water or anything that Allah doth provide for your sustenance."" They will say: ""Both these things hath Allah forbidden to those who rejected Him."") give me the refrence","Refrence: (7,50)"
981," (""Such as took their religion to be mere amusement and play) give me the refrence","Refrence: (7,51)"
982, (For We had certainly sent unto them a Book) give me the refrence,"Refrence: (7,52)"
983, (Do they just wait for the final fulfilment of the event? On the day the event is finally fulfilled) give me the refrence,"Refrence: (7,53)"
984, (Your Guardian-Lord is Allah) give me the refrence,"Refrence: (7,54)"
985, (Call on your Lord with humility and in private: for Allah loveth not those who trespass beyond bounds.) give me the refrence,"Refrence: (7,55)"
986, (Do no mischief on the earth) give me the refrence,"Refrence: (7,56)"
987, (It is He Who sendeth the winds like heralds of glad tidings) give me the refrence,"Refrence: (7,57)"
988, (From the land that is clean and good) give me the refrence,"Refrence: (7,58)"
989," (We sent Noah to his people. He said: ""O my people! worship Allah! ye have no other god but Him. I fear for you the punishment of a dreadful day!) give me the refrence","Refrence: (7,59)"
990," (The leaders of his people said: ""Ah! we see thee evidently wandering (in mind)."") give me the refrence","Refrence: (7,60)"
991," (He said: ""O my people! No wandering is there in my (mind): on the contrary I am a messenger from the Lord and Cherisher of the worlds!) give me the refrence","Refrence: (7,61)"
992," (""I but fulfil towards you the duties of my Lord�s mission: Sincere is my advice to you) give me the refrence","Refrence: (7,62)"
993," (""Do ye wonder that there hath come to you a message from your Lord) give me the refrence","Refrence: (7,63)"
994, (But they rejected him) give me the refrence,"Refrence: (7,64)"
995, (To the �Ad people) give me the refrence,"Refrence: (7,65)"
996," (The leaders of the Unbelievers among his people said: ""Ah! we see thou art an imbecile!"" and ""We think thou art a liar!"") give me the refrence","Refrence: (7,66)"
997," (He said: ""O my people! I am no imbecile) give me the refrence","Refrence: (7,67)"
998," (""I but fulfil towards you the duties of my Lord�s mission: I am to you a sincere and trustworthy adviser.) give me the refrence","Refrence: (7,68)"
999," (""Do ye wonder that there hath come to you a message from your Lord through a man of your own people) give me the refrence","Refrence: (7,69)"
1000," (They said: ""Comest thou to us) give me the refrence","Refrence: (7,70)"
1001," (He said: ""Punishment and wrath have already come upon you from your Lord: dispute ye with me over names which ye have devised - ye and your fathers) give me the refrence","Refrence: (7,71)"
1002, (We saved him and those who adhered to him. By Our mercy) give me the refrence,"Refrence: (7,72)"
1003, (To the Thamud people (We sent) Salih) give me the refrence,"Refrence: (7,73)"
1004," (""And remember how He made you inheritors after the �Ad people and gave you habitations in the land: ye build for yourselves palaces and castles in (open) plains) give me the refrence","Refrence: (7,74)"
1005," (The leaders of the arrogant party among his people said to those who were reckoned powerless - those among them who believed: ""know ye indeed that Salih is a messenger from his Lord?"" They said: ""We do indeed believe in the revelation which hath been sent through him."") give me the refrence","Refrence: (7,75)"
1006," (The Arrogant party said: ""For our part) give me the refrence","Refrence: (7,76)"
1007, (Then they ham-strung the she-camel) give me the refrence,"Refrence: (7,77)"
1008, (So the earthquake took them unawares) give me the refrence,"Refrence: (7,78)"
1009, (So Salih left them) give me the refrence,"Refrence: (7,79)"
1010," (We also (sent) Lut: He said to his people: ""Do ye commit lewdness such as no people in creation (ever) committed before you?) give me the refrence","Refrence: (7,80)"
1011," (""For ye practise your lusts on men in preference to women : ye are indeed a people transgressing beyond bounds."") give me the refrence","Refrence: (7,81)"
1012, (And his people gave no answer but this: they said) give me the refrence,"Refrence: (7,82)"
1013, (But we saved him and his family) give me the refrence,"Refrence: (7,83)"
1014, (And we rained down on them a shower (of brimstone): Then see what was the end of those who indulged in sin and crime!) give me the refrence,"Refrence: (7,84)"
1015, (To the Madyan people We sent Shu�aib) give me the refrence,"Refrence: (7,85)"
1016," (""And squat not on every road) give me the refrence","Refrence: (7,86)"
1017," (""And if there is a party among you who believes in the message with which I have been sent) give me the refrence","Refrence: (7,87)"
1018, (The leaders) give me the refrence,"Refrence: (7,88)"
1019," (""We should indeed invent a lie against Allah) give me the refrence","Refrence: (7,89)"
1020, (The leaders) give me the refrence,"Refrence: (7,90)"
1021, (But the earthquake took them unawares) give me the refrence,"Refrence: (7,91)"
1022, (The men who reject Shu�aib became as if they had never been in the homes where they had flourished: the men who rejected Shu�aib - it was they who were ruined!) give me the refrence,"Refrence: (7,92)"
1023, (So Shu�aib left them) give me the refrence,"Refrence: (7,93)"
1024, (Whenever We sent a prophet to a town) give me the refrence,"Refrence: (7,94)"
1025, (Then We changed their suffering into prosperity) give me the refrence,"Refrence: (7,95)"
1026, (If the people of the towns had but believed and feared Allah) give me the refrence,"Refrence: (7,96)"
1027, (Did the people of the towns feel secure against the coming of Our wrath by night while they were asleep?) give me the refrence,"Refrence: (7,97)"
1028, (Or else did they feel secure against its coming in broad daylight while they played about (care-free)?) give me the refrence,"Refrence: (7,98)"
1029, (Did they then feel secure against the plan of Allah?- but no one can feel secure from the Plan of Allah) give me the refrence,"Refrence: (7,99)"
1030, (To those who inherit the earth in succession to its (previous) possessors) give me the refrence,"Refrence: (7,100)"
1031, (Such were the towns whose story We (thus) relate unto thee: There came indeed to them their messengers with clear (signs): But they would not believe what they had rejected before. Thus doth Allah seal up the hearts of those who reject faith.) give me the refrence,"Refrence: (7,101)"
1032, (Most of them We found not men (true) to their covenant: but most of them We found rebellious and disobedient.) give me the refrence,"Refrence: (7,102)"
1033, (Then after them We sent Moses with Our signs to Pharaoh and his chiefs) give me the refrence,"Refrence: (7,103)"
1034," (Moses said: ""O Pharaoh! I am a messenger from the Lord of the worlds) give me the refrence","Refrence: (7,104)"
1035, (One for whom it is right to say nothing but truth about Allah. Now have I come unto you (people)) give me the refrence,"Refrence: (7,105)"
1036," ((Pharaoh) said: ""If indeed thou hast come with a Sign) give me the refrence","Refrence: (7,106)"
1037, (Then (Moses) threw his rod) give me the refrence,"Refrence: (7,107)"
1038, (And he drew out his hand) give me the refrence,"Refrence: (7,108)"
1039," (Said the Chiefs of the people of Pharaoh: ""This is indeed a sorcerer well-versed.) give me the refrence","Refrence: (7,109)"
1040," (""His plan is to get you out of your land: then what is it ye counsel?"") give me the refrence","Refrence: (7,110)"
1041," (They said: ""Keep him and his brother in suspense (for a while); and send to the cities men to collect-) give me the refrence","Refrence: (7,111)"
1042," (And bring up to thee all (our) sorcerers well-versed."") give me the refrence","Refrence: (7,112)"
1043, (So there came the sorcerers to Pharaoh: They said) give me the refrence,"Refrence: (7,113)"
1044," (He said: ""Yea) give me the refrence","Refrence: (7,114)"
1045," (They said: ""O Moses! wilt thou throw (first)) give me the refrence","Refrence: (7,115)"
1046," (Said Moses: ""Throw ye (first)."" So when they threw) give me the refrence","Refrence: (7,116)"
1047," (We put it into Moses�s mind by inspiration: ""Throw (now) thy rod"":and behold! it swallows up straight away all the falsehoods which they fake!) give me the refrence","Refrence: (7,117)"
1048, (Thus truth was confirmed) give me the refrence,"Refrence: (7,118)"
1049, (So the (great ones) were vanquished there and then) give me the refrence,"Refrence: (7,119)"
1050, (But the sorcerers fell down prostrate in adoration.) give me the refrence,"Refrence: (7,120)"
1051," (Saying: ""We believe in the Lord of the Worlds) give me the refrence","Refrence: (7,121)"
1052," (""The Lord of Moses and Aaron."") give me the refrence","Refrence: (7,122)"
1053," (Said Pharaoh: ""Believe ye in Him before I give you permission? Surely this is a trick which ye have planned in the city to drive out its people: but soon shall ye know (the consequences).) give me the refrence","Refrence: (7,123)"
1054," (""Be sure I will cut off your hands and your feet on apposite sides) give me the refrence","Refrence: (7,124)"
1055," (They said: ""For us) give me the refrence","Refrence: (7,125)"
1056," (""But thou dost wreak thy vengeance on us simply because we believed in the Signs of our Lord when they reached us! Our Lord! pour out on us patience and constancy) give me the refrence","Refrence: (7,126)"
1057," (Said the chiefs of Pharaoh�s people: ""Wilt thou leave Moses and his people) give me the refrence","Refrence: (7,127)"
1058," (Said Moses to his people: ""Pray for help from Allah) give me the refrence","Refrence: (7,128)"
1059," (They said: ""We have had (nothing but) trouble) give me the refrence","Refrence: (7,129)"
1060, (We punished the people of Pharaoh with years (of droughts) and shortness of crops; that they might receive admonition.) give me the refrence,"Refrence: (7,130)"
1061, (But when good (times) came) give me the refrence,"Refrence: (7,131)"
1062," (They said (to Moses): ""Whatever be the Signs thou bringest) give me the refrence","Refrence: (7,132)"
1063, (So We sent (plagues) on them: Wholesale death) give me the refrence,"Refrence: (7,133)"
1064, (Every time the penalty fell on them) give me the refrence,"Refrence: (7,134)"
1065, (But every time We removed the penalty from them according to a fixed term which they had to fulfil) give me the refrence,"Refrence: (7,135)"
1066, (So We exacted retribution from them: We drowned them in the sea) give me the refrence,"Refrence: (7,136)"
1067, (And We made a people) give me the refrence,"Refrence: (7,137)"
1068," (We took the Children of Israel (with safety) across the sea. They came upon a people devoted entirely to some idols they had. They said: ""O Moses! fashion for us a god like unto the gods they have."" He said: ""Surely ye are a people without knowledge.) give me the refrence","Refrence: (7,138)"
1069," (""As to these folk) give me the refrence","Refrence: (7,139)"
1070," (He said: ""Shall I seek for you a god other than the (true) Allah) give me the refrence","Refrence: (7,140)"
1071, (And remember We rescued you from Pharaoh�s people) give me the refrence,"Refrence: (7,141)"
1072, (We appointed for Moses thirty nights) give me the refrence,"Refrence: (7,142)"
1073, (When Moses came to the place appointed by Us) give me the refrence,"Refrence: (7,143)"
1074," ((Allah) said: ""O Moses! I have chosen thee above (other) men) give me the refrence","Refrence: (7,144)"
1075, (And We ordained laws for him in the tablets in all matters) give me the refrence,"Refrence: (7,145)"
1076, (Those who behave arrogantly on the earth in defiance of right - them will I turn away from My signs: Even if they see all the signs) give me the refrence,"Refrence: (7,146)"
1077, (Those who reject Our signs and the meeting in the Hereafter) give me the refrence,"Refrence: (7,147)"
1078, (The people of Moses made) give me the refrence,"Refrence: (7,148)"
1079, (When they repented) give me the refrence,"Refrence: (7,149)"
1080, (When Moses came back to his people) give me the refrence,"Refrence: (7,150)"
1081," (Moses prayed: ""O my Lord! forgive me and my brother! admit us to Thy mercy! for Thou art the Most Merciful of those who show mercy!"") give me the refrence","Refrence: (7,151)"
1082, (Those who took the calf (for worship) will indeed be overwhelmed with wrath from their Lord) give me the refrence,"Refrence: (7,152)"
1083, (But those who do wrong but repent thereafter and (truly) believe) give me the refrence,"Refrence: (7,153)"
1084, (When the anger of Moses was appeased) give me the refrence,"Refrence: (7,154)"
1085, (And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking) give me the refrence,"Refrence: (7,155)"
1086," (""And ordain for us that which is good) give me the refrence","Refrence: (7,156)"
1087," (""Those who follow the messenger) give me the refrence","Refrence: (7,157)"
1088," (Say: ""O men! I am sent unto you all) give me the refrence","Refrence: (7,158)"
1089, (Of the people of Moses there is a section who guide and do justice in the light of truth.) give me the refrence,"Refrence: (7,159)"
1090, (We divided them into twelve tribes or nations. We directed Moses by inspiration) give me the refrence,"Refrence: (7,160)"
1091," (And remember it was said to them: ""Dwell in this town and eat therein as ye wish) give me the refrence","Refrence: (7,161)"
1092, (But the transgressors among them changed the word from that which had been given them so we sent on them a plague from heaven. For that they repeatedly transgressed.) give me the refrence,"Refrence: (7,162)"
1093, (Ask them concerning the town standing close by the sea. Behold! they transgressed in the matter of the Sabbath. For on the day of their Sabbath their fish did come to them) give me the refrence,"Refrence: (7,163)"
1094," (When some of them said: ""Why do ye preach to a people whom Allah will destroy or visit with a terrible punishment?""- said the preachers:"" To discharge our duty to your Lord) give me the refrence","Refrence: (7,164)"
1095, (When they disregarded the warnings that had been given them) give me the refrence,"Refrence: (7,165)"
1096, (When in their insolence they transgressed (all) prohibitions) give me the refrence,"Refrence: (7,166)"
1097, (Behold! thy Lord did declare that He would send against them) give me the refrence,"Refrence: (7,167)"
1098, (We broke them up into sections on this earth. There are among them some that are the righteous) give me the refrence,"Refrence: (7,168)"
1099, (After them succeeded an (evil) generation: They inherited the Book) give me the refrence,"Refrence: (7,169)"
1100, (As to those who hold fast by the Book and establish regular prayer) give me the refrence,"Refrence: (7,170)"
1101, (When We shook the Mount over them) give me the refrence,"Refrence: (7,171)"
1102, (When thy Lord drew forth from the Children of Adam - from their loins - their descendants) give me the refrence,"Refrence: (7,172)"
1103," (Or lest ye should say: ""Our fathers before us may have taken false gods) give me the refrence","Refrence: (7,173)"
1104, (Thus do We explain the signs in detail; and perchance they may turn (unto Us).) give me the refrence,"Refrence: (7,174)"
1105, (Relate to them the story of the man to whom We sent Our signs) give me the refrence,"Refrence: (7,175)"
1106, (If it had been Our will) give me the refrence,"Refrence: (7,176)"
1107, (Evil as an example are people who reject Our signs and wrong their own souls.) give me the refrence,"Refrence: (7,177)"
1108, (Whom Allah doth guide) give me the refrence,"Refrence: (7,178)"
1109, (Many are the Jinns and men we have made for Hell: They have hearts wherewith they understand not) give me the refrence,"Refrence: (7,179)"
1110, (The most beautiful names belong to Allah: so call on him by them; but shun such men as use profanity in his names: for what they do) give me the refrence,"Refrence: (7,180)"
1111, (Of those We have created are people who direct (others) with truth. And dispense justice therewith.) give me the refrence,"Refrence: (7,181)"
1112, (Those who reject Our signs) give me the refrence,"Refrence: (7,182)"
1113, (Respite will I grant unto them: for My scheme is strong (and unfailing).) give me the refrence,"Refrence: (7,183)"
1114, (Do they not reflect? Their companion is not seized with madness: he is but a perspicuous warner.) give me the refrence,"Refrence: (7,184)"
1115, (Do they see nothing in the government of the heavens and the earth and all that Allah hath created? (Do they not see) that it may well be that their terms is nigh drawing to an end? In what message after this will they then believe?) give me the refrence,"Refrence: (7,185)"
1116, (To such as Allah rejects from His guidance) give me the refrence,"Refrence: (7,186)"
1117," (They ask thee about the (final) Hour - when will be its appointed time? Say: ""The knowledge thereof is with my Lord (alone): None but He can reveal as to when it will occur. Heavy were its burden through the heavens and the earth. Only) give me the refrence","Refrence: (7,187)"
1118," (Say: ""I have no power over any good or harm to myself except as Allah willeth. If I had knowledge of the unseen) give me the refrence","Refrence: (7,188)"
1119, (It is He Who created you from a single person) give me the refrence,"Refrence: (7,189)"
1120, (But when He giveth them a goodly child) give me the refrence,"Refrence: (7,190)"
1121, (Do they indeed ascribe to Him as partners things that can create nothing) give me the refrence,"Refrence: (7,191)"
1122, (No aid can they give them) give me the refrence,"Refrence: (7,192)"
1123, (If ye call them to guidance) give me the refrence,"Refrence: (7,193)"
1124, (Verily those whom ye call upon besides Allah are servants like unto you: Call upon them) give me the refrence,"Refrence: (7,194)"
1125," (Have they feet to walk with? Or hands to lay hold with? Or eyes to see with? Or ears to hear with? Say: ""Call your �god-partners�) give me the refrence","Refrence: (7,195)"
1126," (""For my Protector is Allah) give me the refrence","Refrence: (7,196)"
1127," (""But those ye call upon besides Him) give me the refrence","Refrence: (7,197)"
1128, (If thou callest them to guidance) give me the refrence,"Refrence: (7,198)"
1129, (Hold to forgiveness; command what is right; But turn away from the ignorant.) give me the refrence,"Refrence: (7,199)"
1130, (If a suggestion from Satan assail thy (mind)) give me the refrence,"Refrence: (7,200)"
1131, (Those who fear Allah) give me the refrence,"Refrence: (7,201)"
1132, (But their brethren (the evil ones) plunge them deeper into error) give me the refrence,"Refrence: (7,202)"
1133, (If thou bring them not a revelation) give me the refrence,"Refrence: (7,203)"
1134, (When the Qur�an is read) give me the refrence,"Refrence: (7,204)"
1135, (And do thou (O reader!) Bring thy Lord to remembrance in thy (very) soul) give me the refrence,"Refrence: (7,205)"
1136, (Those who are near to thy Lord) give me the refrence,"Refrence: (7,206)"
1137," (They ask thee concerning (things taken as) spoils of war. Say: ""(such) spoils are at the disposal of Allah and the Messenger: So fear Allah) give me the refrence","Refrence: (8,1)"
1138, (For) give me the refrence,"Refrence: (8,2)"
1139, (Who establish regular prayers and spend (freely) out of the gifts We have given them for sustenance:) give me the refrence,"Refrence: (8,3)"
1140, (Such in truth are the believers: they have grades of dignity with their Lord) give me the refrence,"Refrence: (8,4)"
1141, (Just as thy Lord ordered thee out of thy house in truth) give me the refrence,"Refrence: (8,5)"
1142, (Disputing with thee concerning the truth after it was made manifest) give me the refrence,"Refrence: (8,6)"
1143, (Behold! Allah promised you one of the two (enemy) parties) give me the refrence,"Refrence: (8,7)"
1144, (That He might justify Truth and prove Falsehood false) give me the refrence,"Refrence: (8,8)"
1145, (Remember ye implored the assistance of your Lord) give me the refrence,"Refrence: (8,9)"
1146, (Allah made it but a message of hope) give me the refrence,"Refrence: (8,10)"
1147, (Remember He covered you with a sort of drowsiness) give me the refrence,"Refrence: (8,11)"
1148," (Remember thy Lord inspired the angels (with the message): ""I am with you: give firmness to the Believers: I will instil terror into the hearts of the Unbelievers: smite ye above their necks and smite all their finger-tips off them."") give me the refrence","Refrence: (8,12)"
1149, (This because they contended against Allah and His Messenger: If any contend against Allah and His Messenger) give me the refrence,"Refrence: (8,13)"
1150," (Thus (will it be said): ""Taste ye then of the (punishment): for those who resist Allah) give me the refrence","Refrence: (8,14)"
1151, (O ye who believe! when ye meet the Unbelievers in hostile array) give me the refrence,"Refrence: (8,15)"
1152, (If any do turn his back to them on such a day - unless it be in a stratagem of war) give me the refrence,"Refrence: (8,16)"
1153, (It is not ye who slew them; it was Allah: when thou threwest (a handful of dust)) give me the refrence,"Refrence: (8,17)"
1154, (That) give me the refrence,"Refrence: (8,18)"
1155, ((O Unbelievers!) if ye prayed for victory and judgment) give me the refrence,"Refrence: (8,19)"
1156, (O ye who believe! Obey Allah and His Messenger) give me the refrence,"Refrence: (8,20)"
1157, (Nor be like those who say) give me the refrence,"Refrence: (8,21)"
1158," (Remember how they said: ""O Allah if this is indeed the Truth from Thee) give me the refrence","Refrence: (8,32)"
1159, (But Allah was not going to send them a penalty whilst thou wast amongst them; nor was He going to send it whilst they could ask for pardon.) give me the refrence,"Refrence: (8,33)"
1160, (But what plea have they that Allah should not punish them) give me the refrence,"Refrence: (8,34)"
1161, (Their prayer at the House (of Allah) is nothing but whistling and clapping of hands: (Its only answer can be)) give me the refrence,"Refrence: (8,35)"
1162, (The Unbelievers spend their wealth to hinder (man) from the path of Allah) give me the refrence,"Refrence: (8,36)"
1163, (In order that Allah may separate the impure from the pure) give me the refrence,"Refrence: (8,37)"
1164, (Say to the Unbelievers) give me the refrence,"Refrence: (8,38)"
1165, (And fight them on until there is no more tumult or oppression) give me the refrence,"Refrence: (8,39)"
1166, (If they refuse) give me the refrence,"Refrence: (8,40)"
1167, (And know that out of all the booty that ye may acquire (in war)) give me the refrence,"Refrence: (8,41)"
1168, (Remember ye were on the hither side of the valley) give me the refrence,"Refrence: (8,42)"
1169, (Remember in thy dream Allah showed them to thee as few: if He had shown them to thee as many) give me the refrence,"Refrence: (8,43)"
1170, (And remember when ye met) give me the refrence,"Refrence: (8,44)"
1171, (O ye who believe! When ye meet a force) give me the refrence,"Refrence: (8,45)"
1172, (And obey Allah and His Messenger; and fall into no disputes) give me the refrence,"Refrence: (8,46)"
1173, (And be not like those who started from their homes insolently and to be seen of men) give me the refrence,"Refrence: (8,47)"
1174, (Remember Satan made their (sinful) acts seem alluring to them) give me the refrence,"Refrence: (8,48)"
1175, (Lo! the hypocrites say) give me the refrence,"Refrence: (8,49)"
1176, (If thou couldst see) give me the refrence,"Refrence: (8,50)"
1177," (""Because of (the deeds) which your (own) hands sent forth; for Allah is never unjust to His servants:) give me the refrence","Refrence: (8,51)"
1178," (""(Deeds) after the manner of the people of Pharaoh and of those before them: They rejected the Signs of Allah) give me the refrence","Refrence: (8,52)"
1179," (""Because Allah will never change the grace which He hath bestowed on a people until they change what is in their (own) souls: and verily Allah is He Who heareth and knoweth (all things)."") give me the refrence","Refrence: (8,53)"
1180," ((Deeds) after the manner of the people of Pharaoh and those before them"": They treated as false the Signs of their Lord: so We destroyed them for their crimes) give me the refrence","Refrence: (8,54)"
1181, (For the worst of beasts in the sight of Allah are those who reject Him: They will not believe.) give me the refrence,"Refrence: (8,55)"
1182, (They are those with whom thou didst make a covenant) give me the refrence,"Refrence: (8,56)"
1183, (If ye gain the mastery over them in war) give me the refrence,"Refrence: (8,57)"
1184, (If thou fearest treachery from any group) give me the refrence,"Refrence: (8,58)"
